experiment,scenario,slot,method,compression_ratio,active_md_count,bandwidth_up_mb_s,bandwidth_down_mb_s,total_cost,total_latency,total_energy,avg_task_queue_wait,avg_queue_backlog,max_queue_backlog,mean_external_load
online_extension,online_bandwidth_trace,2,Static MinCut+BMatch,4.0,5,0.5,10.0,5.770294465929993,3.2274940864964403,2.5428003794335527,0.02850497280000026,0.02850497280000026,0.1425248640000013,0.0
online_extension,online_bandwidth_trace,2,Online MinCut+BMatch,4.0,5,0.5,10.0,5.427596705329993,2.9793754013964406,2.4482213039335528,0.02850497280000026,0.02850497280000026,0.1425248640000013,0.0
online_extension,online_bandwidth_trace,3,Online Only-Local,4.0,5,1.0,10.0,18.848457004800004,6.349615057660151,12.498841947139852,0.0,0.0,0.0,0.0
online_extension,online_bandwidth_trace,3,Online Only-Server,4.0,5,1.0,10.0,9.622550248486814,5.345206498486812,4.27734375,0.04574544000000043,0.04574544000000043,0.22872720000000213,0.0
online_extension,online_bandwidth_trace,3,Static MinCut+BMatch,4.0,5,1.0,10.0,3.9439738901174937,2.3499650145901914,1.5940088755273023,0.04275745920000039,0.04275745920000039,0.21378729600000196,0.0
online_extension,online_bandwidth_trace,3,Online MinCut+BMatch,4.0,5,1.0,10.0,3.9381536765841605,2.308611959556858,1.6295417170273025,0.04275745920000039,0.04275745920000039,0.21378729600000196,0.0
online_extension,online_bandwidth_trace,4,Online Only-Local,4.0,5,1.0,10.0,18.848457004800004,6.349615057660151,12.498841947139852,0.0,0.0,0.0,0.0
online_extension,online_bandwidth_trace,4,Online Only-Server,4.0,5,1.0,10.0,9.698792648486814,5.421448898486814,4.27734375,0.06099392000000057,0.06099392000000057,0.30496960000000284,0.0
online_extension,online_bandwidth_trace,4,Static MinCut+BMatch,4.0,5,1.0,10.0,4.015236322117494,2.4212274465901915,1.5940088755273023,0.05700994560000052,0.05700994560000052,0.2850497280000026,0.0
online_extension,online_bandwidth_trace,4,Online MinCut+BMatch,4.0,5,1.0,10.0,4.009416108584161,2.3798743915568585,1.6295417170273025,0.05700994560000052,0.05700994560000052,0.2850497280000026,0.0
online_extension,online_bandwidth_trace,5,Online Only-Local,4.0,5,1.0,10.0,18.848457004800004,6.349615057660151,12.498841947139852,0.0,0.0,0.0,0.0
online_extension,online_bandwidth_trace,5,Online Only-Server,4.0,5,1.0,10.0,9.775035048486815,5.497691298486814,4.27734375,0.07624240000000071,0.07624240000000071,0.38121200000000355,0.0
online_extension,online_bandwidth_trace,5,Static MinCut+BMatch,4.0,5,1.0,10.0,4.086498754117494,2.4924898785901926,1.5940088755273023,0.07126243200000064,0.07126243200000064,0.3563121600000032,0.0
online_extension,online_bandwidth_trace,5,Online MinCut+BMatch,4.0,5,1.0,10.0,4.080678540584161,2.451136823556859,1.6295417170273025,0.07126243200000064,0.07126243200000064,0.3563121600000032,0.0
online_extension,online_bandwidth_trace,6,Online Only-Local,4.0,5,4.0,10.0,18.848457004800004,6.349615057660151,12.498841947139852,0.0,0.0,0.0,0.0
online_extension,online_bandwidth_trace,6,Online Only-Server,4.0,5,4.0,10.0,3.4352618234868144,2.365925885986814,1.0693359375,0.09149088000000086,0.09149088000000086,0.45745440000000426,0.0
online_extension,online_bandwidth_trace,6,Static MinCut+BMatch,4.0,5,4.0,10.0,2.7345739302581205,1.8521586826605054,0.8824152475976151,0.08551491840000076,0.08551491840000076,0.4275745920000038,0.0
online_extension,online_bandwidth_trace,6,Online MinCut+BMatch,4.0,5,4.0,10.0,2.5733966642247874,1.8102451813771723,0.763151482847615,0.08551491840000076,0.08551491840000076,0.4275745920000038,0.0
online_extension,online_bandwidth_trace,7,Online Only-Local,4.0,5,4.0,10.0,18.848457004800004,6.349615057660151,12.498841947139852,0.0,0.0,0.0,0.0
