model,bandwidth_mb_s,md_gflops,gain,mincut_cost,endpoint_cost,best_endpoint,partition
resnet101,1.0,4.0,0.37160883906300934,1.003061295897991,1.5962371182979909,Only-Server,maxpool
resnet101,2.0,4.0,0.20583125404128164,0.811655045897991,1.0220183682979909,Only-Server,maxpool
resnet101,3.0,4.0,0.09963634518469985,0.7478529625646575,0.8306121182979909,Only-Server,maxpool
resnet101,4.0,4.0,0.02579512915596227,0.715951920897991,0.7349089932979909,Only-Server,maxpool
resnet101,5.0,4.0,0.0,0.6774871182979909,0.6774871182979909,Only-Server,server-only
resnet101,0.5,5.0,0.5081318502026463,1.3500180262979908,2.744674618297991,Only-Server,maxpool
resnet101,1.0,5.0,0.3940715228265794,0.9672055262979908,1.5962371182979909,Only-Server,maxpool
resnet101,2.0,5.0,0.24091454678064034,0.7757992762979908,1.0220183682979909,Only-Server,maxpool
resnet101,3.0,5.0,0.14280423162665554,0.7119971929646576,0.8306121182979909,Only-Server,maxpool
resnet101,4.0,5.0,0.07458453019335215,0.6800961512979908,0.7349089932979909,Only-Server,maxpool
resnet101,5.0,5.0,0.024401337757581697,0.6609555262979909,0.6774871182979909,Only-Server,maxpool
resnet101,0.5,6.0,0.5168410233194302,1.326114179897991,2.744674618297991,Only-Server,maxpool
resnet101,1.0,6.0,0.40904664533562596,0.943301679897991,1.5962371182979909,Only-Server,maxpool
resnet101,2.0,6.0,0.2643034086068793,0.751895429897991,1.0220183682979909,Only-Server,maxpool
resnet101,3.0,6.0,0.17158282258795948,0.6880933465646575,0.8306121182979909,Only-Server,maxpool
resnet101,4.0,6.0,0.10711079755161176,0.656192304897991,0.7349089932979909,Only-Server,maxpool
resnet101,5.0,6.0,0.0596844387264269,0.6370516798979909,0.6774871182979909,Only-Server,maxpool
