experiment,scenario,bandwidth_mb_s,beta,compression_ratio,method,repeat_count,total_cost,total_cost_std,total_latency,total_latency_std,total_energy,total_energy_std
beta_sensitivity,mixed5,1.0,0,4.0,Only-Local,1,35.64031191584413,0.0,35.64031191584413,0.0,73.0935979931428,0.0
beta_sensitivity,mixed5,1.0,0,4.0,Only-Server,1,4.854452690823289,0.0,4.854452690823289,0.0,2.87109375,0.0
beta_sensitivity,mixed5,1.0,0,4.0,MinCut+BMatch,1,3.521672025268933,0.0,3.521672025268933,0.0,2.0398869257062504,0.0
beta_sensitivity,mixed5,1.0,0,4.0,MinCut+RMatch,30,4.093203629122689,0.27546110513323663,4.093203629122689,0.27546110513323663,2.0398869257062504,0.0
beta_sensitivity,mixed5,1.0,0,4.0,Rpartition+RMatch,30,23.94190581045411,6.33282212138535,23.94190581045411,6.33282212138535,44.52923540728322,13.925266625430968
beta_sensitivity,mixed5,1.0,0.5,4.0,Only-Local,1,72.18711091241552,0.0,35.64031191584413,0.0,73.0935979931428,0.0
beta_sensitivity,mixed5,1.0,0.5,4.0,Only-Server,1,6.289999565823289,0.0,4.854452690823289,0.0,2.87109375,0.0
beta_sensitivity,mixed5,1.0,0.5,4.0,MinCut+BMatch,1,4.541615488122058,0.0,3.521672025268933,0.0,2.0398869257062504,0.0
beta_sensitivity,mixed5,1.0,0.5,4.0,MinCut+RMatch,30,5.030025051502586,0.3030305094864585,4.010081588649462,0.3030305094864585,2.0398869257062504,0.0
beta_sensitivity,mixed5,1.0,0.5,4.0,Rpartition+RMatch,30,47.504342627353324,12.949066925500697,24.510775697127368,6.313688631771706,45.98713386045191,13.343409378050394
beta_sensitivity,mixed5,1.0,1,4.0,Only-Local,1,108.73390990898692,0.0,35.64031191584413,0.0,73.0935979931428,0.0
beta_sensitivity,mixed5,1.0,1,4.0,Only-Server,1,7.725546440823289,0.0,4.854452690823289,0.0,2.87109375,0.0
beta_sensitivity,mixed5,1.0,1,4.0,MinCut+BMatch,1,5.561558950975183,0.0,3.521672025268933,0.0,2.0398869257062504,0.0
beta_sensitivity,mixed5,1.0,1,4.0,MinCut+RMatch,30,5.925860666215077,0.2598565430710888,3.8859737405088266,0.2598565430710888,2.0398869257062504,0.0
beta_sensitivity,mixed5,1.0,1,4.0,Rpartition+RMatch,30,67.40461842277286,19.190334243705188,23.392953702267974,6.128977369497074,44.01166472050488,13.125925845912125
beta_sensitivity,mixed5,1.0,2,4.0,Only-Local,1,181.8275079021297,0.0,35.64031191584413,0.0,73.0935979931428,0.0
beta_sensitivity,mixed5,1.0,2,4.0,Only-Server,1,10.596640190823287,0.0,4.854452690823289,0.0,2.87109375,0.0
beta_sensitivity,mixed5,1.0,2,4.0,MinCut+BMatch,1,7.6014458766814315,0.0,3.521672025268933,0.0,2.0398869257062504,0.0
beta_sensitivity,mixed5,1.0,2,4.0,MinCut+RMatch,30,8.074773585780585,0.2778494520137703,3.994999734368086,0.2778494520137701,2.0398869257062504,0.0
beta_sensitivity,mixed5,1.0,2,4.0,Rpartition+RMatch,30,107.23158016508579,39.23128199602789,22.728389027448944,7.3260967934490955,42.25159556881842,15.97660291926594
beta_sensitivity,mixed5,1.0,4,4.0,Only-Local,1,328.01470388841534,0.0,35.64031191584413,0.0,73.0935979931428,0.0
beta_sensitivity,mixed5,1.0,4,4.0,Only-Server,1,16.33882769082329,0.0,4.854452690823289,0.0,2.87109375,0.0
beta_sensitivity,mixed5,1.0,4,4.0,MinCut+BMatch,1,11.681219728093934,0.0,3.521672025268933,0.0,2.0398869257062504,0.0
beta_sensitivity,mixed5,1.0,4,4.0,MinCut+RMatch,30,12.191094295884621,0.2991987004620683,4.031546593059621,0.29919870046206865,2.0398869257062504,0.0
beta_sensitivity,mixed5,1.0,4,4.0,Rpartition+RMatch,30,222.01883520486632,60.91307966261604,25.88119116354139,6.395774085047015,49.03441101033123,13.645699803387616
