experiment,scenario,bandwidth_mb_s,beta,compression_ratio,method,repeat,total_cost,total_latency,total_energy
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,21,104.34549599810379,34.60947740026008,69.7360185978437
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,22,87.62508867546647,30.293368842253965,57.3317198332125
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,23,53.372973094550616,19.79168013070686,33.58129296384375
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,24,78.39969751248526,26.744901334938408,51.65479617754686
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,25,63.16835027658115,22.80587663248115,40.3624736441
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,26,29.56453968415309,11.059310942278088,18.505228741875
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,27,35.92255442607065,13.444953003908154,22.477601422162497
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,28,76.73221211175894,27.281694967177696,49.45051714458125
main_comparison,mixed5,1.0,1.0,4.0,Rpartition+RMatch,29,55.13519695927512,20.257760934362626,34.8774360249125
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,0,26.036377869023845,13.190198511880986,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,1,26.465721179880987,13.619541822738128,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,2,26.32368859473813,13.477509237595271,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,3,26.67068608350003,13.824506726357175,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,4,26.144039356515904,13.297859999373049,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,5,26.452193567538124,13.60601421039527,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,6,26.44603281150003,13.599853454357175,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,7,26.465721179880987,13.619541822738128,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,8,25.920136859880984,13.073957502738129,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,9,26.74868156502384,13.902502207880985,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,10,26.367787234357174,13.521607877214318,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,11,26.865843015944478,14.01966365880162,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,12,26.850125838547648,14.003946481404796,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,13,26.265754698738125,13.419575341595271,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,14,26.197485165633367,13.351305808490508,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,15,25.958598994357175,13.11241963721432,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,16,26.159230259880985,13.31305090273813,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,17,25.9539922301667,13.107812873023843,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,18,26.781283888833364,13.93510453169051,12.846179357142857
bandwidth_sensitivity,mixed5,0.1,1.0,4.0,MinCut+RMatch,19,25.920136859880984,13.073957502738129,12.846179357142857
