model,md_gflops,method,cost,latency,energy,partition
densenet121,4.0,MinCut,0.7189639720122769,0.4080384900122769,0.31092548200000003,features_pool0
densenet121,5.0,Only-Local,3.429737318400002,1.1432457728000007,2.2864915456000015,local-only
densenet121,5.0,Only-Server,1.312139794412277,0.7379210444122769,0.57421875,server-only
densenet121,5.0,MinCut,0.6831082024122769,0.3960865668122769,0.2870216356,features_pool0
densenet121,6.0,Only-Local,2.8581144320000016,0.9527048106666672,1.9054096213333345,local-only
densenet121,6.0,Only-Server,1.312139794412277,0.7379210444122769,0.57421875,server-only
densenet121,6.0,MinCut,0.6592043560122769,0.3881186180122769,0.271085738,features_pool0
resnet101,1.0,Only-Local,46.97890559999998,15.659635199999995,31.31927039999999,local-only
resnet101,1.0,Only-Server,1.5962371182979913,1.0220183682979913,0.57421875,server-only
resnet101,1.0,MinCut,1.5408978398979913,0.8714146618979912,0.669483178,maxpool
resnet101,1.5,Only-Local,31.319270400000043,10.439756800000014,20.879513600000028,local-only
resnet101,1.5,Only-Server,1.5962371182979913,1.0220183682979913,0.57421875,server-only
resnet101,1.5,MinCut,1.3018593758979913,0.7917351738979912,0.510124202,maxpool
resnet101,2.0,Only-Local,23.48945279999999,7.8298175999999975,15.659635199999995,local-only
resnet101,2.0,Only-Server,1.5962371182979913,1.0220183682979913,0.57421875,server-only
resnet101,2.0,MinCut,1.1823401438979912,0.7518954298979912,0.430444714,maxpool
resnet101,3.0,Only-Local,15.659635200000022,5.219878400000007,10.439756800000014,local-only
resnet101,3.0,Only-Server,1.5962371182979913,1.0220183682979913,0.57421875,server-only
resnet101,3.0,MinCut,1.0628209118979912,0.7120556858979912,0.350765226,maxpool
resnet101,4.0,Only-Local,11.744726399999996,3.9149087999999987,7.8298175999999975,local-only
resnet101,4.0,Only-Server,1.5962371182979913,1.0220183682979913,0.57421875,server-only
resnet101,4.0,MinCut,1.0030612958979912,0.6921358138979912,0.31092548200000003,maxpool
resnet101,5.0,Only-Local,9.395781119999995,3.1319270399999986,6.263854079999997,local-only
resnet101,5.0,Only-Server,1.5962371182979913,1.0220183682979913,0.57421875,server-only
resnet101,5.0,MinCut,0.9672055262979913,0.6801838906979912,0.2870216356,maxpool
resnet101,6.0,Only-Local,7.829817600000011,2.6099392000000035,5.219878400000007,local-only
resnet101,6.0,Only-Server,1.5962371182979913,1.0220183682979913,0.57421875,server-only
resnet101,6.0,MinCut,0.9433016798979912,0.6722159418979912,0.271085738,maxpool
