model,bandwidth_mb_s,method,cost,latency,energy,partition
resnet101,0.1,Only-Server,11.932174618297992,6.189987118297991,5.7421875,server-only
resnet101,0.1,MinCut,4.508133411897991,2.434711935897991,2.073421476,maxpool
resnet101,0.2,Only-Local,15.659635200000022,5.219878400000007,10.439756800000014,local-only
resnet101,0.2,Only-Server,6.189987118297991,3.3188933682979913,2.87109375,server-only
resnet101,0.2,MinCut,2.594070911897991,1.4776806858979914,1.116390226,maxpool
resnet101,0.5,Only-Local,15.659635200000022,5.219878400000007,10.439756800000014,local-only
resnet101,0.5,Only-Server,2.7446746182979913,1.5962371182979913,1.1484375,server-only
resnet101,0.5,MinCut,1.4456334118979914,0.9034619358979914,0.542171476,maxpool
resnet101,1,Only-Local,15.659635200000022,5.219878400000007,10.439756800000014,local-only
resnet101,1,Only-Server,1.5962371182979913,1.0220183682979913,0.57421875,server-only
resnet101,1,MinCut,1.0628209118979914,0.7120556858979914,0.350765226,maxpool
resnet101,2,Only-Local,15.659635200000022,5.219878400000007,10.439756800000014,local-only
resnet101,2,Only-Server,1.0220183682979913,0.7349089932979913,0.287109375,server-only
resnet101,2,MinCut,0.8714146618979912,0.6163525608979913,0.255062101,maxpool
resnet101,3,Only-Local,15.659635200000022,5.219878400000007,10.439756800000014,local-only
resnet101,3,Only-Server,0.8306121182979913,0.6392058682979913,0.19140625,server-only
resnet101,3,MinCut,0.807612578564658,0.5844515192313247,0.2231610593333333,maxpool
resnet101,5,Only-Local,15.659635200000022,5.219878400000007,10.439756800000014,local-only
resnet101,5,Only-Server,0.6774871182979914,0.5626433682979913,0.11484375,server-only
resnet101,5,MinCut,0.6774871182979914,0.5626433682979913,0.11484375,server-only
